time,X,Y,Z,Vx,Vy,Vz
0.729817,329.030080,997.705722,-636.973942,-76.998126,-5.966130,147.816374
0.739815,328.262048,997.645722,-635.499517,-76.647261,-6.036829,147.143406
0.749812,327.497507,997.585017,-634.031789,-76.299533,-6.107327,146.476457
0.759810,326.736428,997.523607,-632.570700,-75.954938,-6.177632,145.815521
0.769807,325.978779,997.461495,-631.116189,-75.613432,-6.247745,145.160511
0.779805,325.224528,997.398684,-629.668198,-75.274986,-6.317671,144.511371
0.789802,324.473646,997.335174,-628.226667,-74.939570,-6.387412,143.868049
0.799800,323.726103,997.270968,-626.791538,-74.607159,-6.456973,143.230490
0.809797,322.981867,997.206068,-625.362756,-74.277716,-6.526356,142.598627
0.819795,322.240912,997.140474,-623.940263,-73.951182,-6.595562,141.972346
0.829792,321.503206,997.074190,-622.524005,-73.627509,-6.664592,141.351553
0.839790,320.768722,997.007217,-621.113925,-73.306643,-6.733448,140.736148
0.849787,320.037433,996.939555,-619.709972,-72.988514,-6.802127,140.125995
0.859785,319.309311,996.871209,-618.312094,-72.673060,-6.870631,139.520975
0.869782,318.584329,996.802178,-616.920238,-72.360229,-6.938959,138.920987
0.879780,317.862461,996.732465,-615.534355,-72.050024,-7.007117,138.326037
0.889777,317.143681,996.662071,-614.154395,-71.742428,-7.075109,137.736095
0.899775,316.427963,996.590999,-612.780307,-71.437420,-7.142938,137.151119
0.909772,315.715282,996.519249,-611.412044,-71.134979,-7.210607,136.571066
0.919769,315.005612,996.446823,-610.049555,-70.835081,-7.278118,135.995894
0.929767,314.298928,996.373723,-608.692792,-70.537704,-7.345476,135.425561
0.939764,313.595205,996.299951,-607.341709,-70.242818,-7.412682,134.860005
0.949762,312.894418,996.225507,-605.996258,-69.950389,-7.479736,134.299165
0.959759,312.196545,996.150394,-604.656393,-69.660389,-7.546643,133.742985
0.969757,311.501558,996.074612,-603.322066,-69.372788,-7.613403,133.191409
0.979754,310.809436,995.998164,-601.993231,-69.087557,-7.680019,132.644381
0.989752,310.120151,995.921050,-600.669839,-68.804667,-7.746492,132.101845
0.999749,309.433682,995.843273,-599.351846,-68.524079,-7.812824,131.563725
1.009747,308.750008,995.764833,-598.039214,-68.245729,-7.879010,131.029899
1.019744,308.069107,995.685733,-596.731899,-67.969574,-7.945053,130.500286
1.029742,307.390954,995.605973,-595.429857,-67.695575,-8.010950,129.974808
1.039739,306.715529,995.525554,-594.133044,-67.423706,-8.076706,129.453418
1.049737,306.042811,995.444479,-592.841424,-67.153974,-8.142323,128.936129
1.059734,305.372780,995.362749,-591.554956,-66.886363,-8.207806,128.422909
1.069732,304.705413,995.280365,-590.273598,-66.620856,-8.273157,127.913727
1.079729,304.040690,995.197328,-588.997310,-66.357436,-8.338378,127.408549
1.089727,303.378590,995.113639,-587.726053,-66.096088,-8.403471,126.907345
1.099724,302.719094,995.029300,-586.459788,-65.836793,-8.468440,126.410083
1.109722,302.062179,994.944313,-585.198474,-65.579536,-8.533287,125.916731
1.119719,301.407826,994.858678,-583.942073,-65.324301,-8.598014,125.427257
1.129717,300.756014,994.772396,-582.690546,-65.071071,-8.662624,124.941632
1.139714,300.106725,994.685469,-581.443856,-64.819831,-8.727119,124.459824
1.149712,299.459937,994.597898,-580.201963,-64.570563,-8.791501,123.981802
1.159709,298.815632,994.509683,-578.964831,-64.323224,-8.855768,123.507478
1.169707,298.173792,994.420827,-577.732426,-64.077733,-8.919915,123.036703
1.179704,297.534397,994.331330,-576.504710,-63.834043,-8.983938,122.569382
1.189702,296.897428,994.241194,-575.281648,-63.592106,-9.047835,122.105424
1.199699,296.262869,994.150419,-574.063205,-63.351905,-9.111609,121.644799
1.209697,295.630702,994.059008,-572.849351,-63.113462,-9.175265,121.187546
1.219694,295.000911,993.966960,-571.640052,-62.876763,-9.238806,120.733639
1.229692,294.373477,993.874278,-570.435273,-62.641794,-9.302234,120.283052
1.239689,293.748383,993.780962,-569.234983,-62.408543,-9.365551,119.835761
1.249687,293.125613,993.687014,-568.039148,-62.176998,-9.428758,119.391742
